model,n_observations,r_squared,adjusted_r_squared,f_statistic,f_pvalue,aic,bic,condition_number,durbin_watson,ljung_box_pvalue,autocorrelation_detected,breusch_pagan_lm_pvalue,heteroskedasticity_detected,jarque_bera_pvalue,normality_rejected,maximum_vif,residual_anomaly_count
Level OLS,156,0.8102649583639714,0.8052388645457984,161.21166609232029,1.9667792506426217e-53,2021.8038844466691,2037.0531644829168,61544.39084989811,0.26111107345977064,1.4708867213910684e-83,True,1.4840353452088054e-06,True,0.19541613781546552,False,5.783620002593992,8
First-Difference OLS,155,0.561995955415028,0.5503158475594288,48.11564776309975,5.569764219764539e-26,1755.8896354742153,1771.1067610588116,889.2531597320932,2.0102186898843883,0.8599243266361999,False,0.009528924980812987,True,5.5700641205140115e-06,True,1.3253170491933508,8
