model,n_observations,residual_mean,residual_std,durbin_watson,durbin_watson_assessment,ljung_box_lag,ljung_box_statistic,ljung_box_pvalue,autocorrelation_detected,breusch_pagan_lm_statistic,breusch_pagan_lm_pvalue,breusch_pagan_f_statistic,breusch_pagan_f_pvalue,heteroskedasticity_detected,jarque_bera_statistic,jarque_bera_pvalue,residual_skewness,residual_kurtosis,normality_rejected
Level OLS,156,6.456829373163577e-13,153.2953243154077,0.26111107345977064,Positive autocorrelation risk,12,425.5316645991505,1.4708867213910684e-83,True,32.539398125073404,1.4840353452088054e-06,9.949427271267716,3.5764757615157747e-07,True,3.2652479083364456,0.19541613781546552,0.3332239452695971,2.7587676612731635,False
First-Difference OLS,155,-1.3349035138925236e-13,67.77543230965388,2.0102186898843883,No strong first-order autocorrelation,12,6.964900542331002,0.8599243266361999,False,13.387687770021225,0.009528924980812987,3.545159905026366,0.008540417806445547,True,24.196207984658802,5.5700641205140115e-06,-0.28663613421918904,4.848747827495831,True
