term,coefficient,standard_error,t_statistic,p_value,ci_lower_95,ci_upper_95
const,-4.277117911296695,5.598358110332599,-0.7639950548005566,0.44607027911502667,-15.338943545771205,6.784707723177816
Exchange_Rate,-0.5618546697633757,0.19957764225135607,-2.815218495545475,0.0055294810767412645,-0.9562011970156088,-0.1675081425111427
Interest_Rate,-78.57885477406671,39.557273733050955,-1.9864577954575364,0.048804341751397314,-156.74028281893894,-0.41742672919448864
SP500,0.4643246645113864,0.05204012554647066,8.922435517507637,1.4808436374508437e-15,0.3614983030235856,0.5671510259991871
WTI_Oil,2.4767666577585494,0.9431996996341223,2.625919684579326,0.009537460298906465,0.6130933431513963,4.340439972365703
