model,n_observations,r_squared,adjusted_r_squared,f_statistic,f_pvalue,aic,bic,condition_number
Level OLS,156,0.8102649583639714,0.8052388645457984,161.21166609232029,1.9667792506426217e-53,2021.8038844466691,2037.0531644829168,61544.39084989811
First-Difference OLS,155,0.561995955415028,0.5503158475594288,48.11564776309975,5.569764219764539e-26,1755.8896354742153,1771.1067610588116,889.2531597320932
