term,coefficient,conventional_standard_error,hac_standard_error,conventional_t_statistic,hac_t_statistic,conventional_p_value,hac_p_value,hac_ci_lower_95,hac_ci_upper_95,conventional_significant_5pct,hac_significant_5pct,standard_error_ratio_hac_to_ols
const,3299.26382169445,271.3316157533263,519.7594429942346,12.159525945895982,6.347674614025332,3.7781956806087706e-24,2.4232047887764325e-09,2272.3236735822297,4326.203969806671,True,True,1.9155874686817171
Exchange_Rate,-1.9398395593726359,0.26176478910923306,0.5417147884297757,-7.410620679632932,-3.5809241335195776,8.321256858857193e-12,0.0004610079476425091,-3.010159055368449,-0.8695200633768223,True,True,2.0694715674831308
Interest_Rate,54.57512635465885,32.488658720938595,49.56750206301537,1.6798208514371744,1.1010263596756857,0.09505997583231612,0.27263720195399277,-43.36029087779039,152.5105435871081,False,False,1.5256863168398405
SP500,0.38369105926490243,0.0205462235123003,0.04430694160407234,18.674529605657224,8.659840769276581,4.4293508073186e-41,6.673287417752889e-15,0.296149451725912,0.47123266680389286,True,True,2.156451845155259
WTI_Oil,0.49215738229993633,1.1106630052493862,1.6297877878271163,0.4431203524145726,0.3019763591161128,0.6583128766855768,0.7630855992868946,-2.7279755749405,3.7122903395403726,False,False,1.467400804856345
