Date,KOSPI,SP500,Exchange_Rate,WTI_Oil,Interest_Rate
2010-02-01,-7.85009765625,30.6199951171875,3.2000732421875,6.7700042724609375,-0.09999999999999964
2010-03-01,98.27001953125,64.9400634765625,-29.800048828125,4.099998474121094,-0.25000000000000044
2010-04-01,48.7100830078125,17.2598876953125,-23.699951171875,2.3899993896484375,-0.16999999999999993
2010-05-01,-100.31005859375,-97.2799072265625,92.0999755859375,-12.180000305175781,-0.06999999999999984
2010-06-01,57.0400390625,-58.7000732421875,27.199951171875,1.6599960327148438,0.04999999999999982
2010-07-01,61.0399169921875,70.8900146484375,-43.0999755859375,3.3199996948242188,0.1299999999999999
2010-08-01,-16.5799560546875,-52.27001953125,9.0,-7.029998779296875,-0.1499999999999999
2010-09-01,130.06005859375,91.8699951171875,-53.9000244140625,8.050003051757812,-0.25
2010-10-01,10.139892578125,42.06005859375,-6.7999267578125,1.4599990844726562,-0.23999999999999977
2010-11-01,21.6800537109375,-2.7099609375,30.5999755859375,2.6800003051757812,0.1599999999999997
2010-12-01,146.3699951171875,77.0899658203125,-35.9000244140625,7.269996643066392,-0.1499999999999999
2011-01-01,18.72998046875,28.47998046875,-9.699951171875,0.8100051879882812,0.45999999999999996
2011-02-01,-130.429931640625,41.0999755859375,9.699951171875,4.779998779296889,0.22999999999999998
2011-03-01,167.39990234375,-1.3900146484375,-28.7999267578125,9.75,-0.19999999999999973
2011-04-01,85.66015625,37.780029296875,-29.5,7.209999084472656,0.0
2011-05-01,-49.89013671875,-18.4100341796875,6.5,-11.23000335693358,-0.08000000000000007
2011-06-01,-41.780029296875,-24.5599365234375,-6.4000244140625,-7.279998779296875,-0.010000000000000231
2011-07-01,32.52001953125,-28.3599853515625,-19.9000244140625,0.279998779296875,0.1200000000000001
2011-08-01,-253.0999755859375,-73.3900146484375,22.800048828125,-6.889999389648452,-0.20000000000000018
2011-09-01,-110.4599609375,-87.469970703125,105.199951171875,-9.610000610351562,-0.11999999999999966
2011-10-01,139.3800048828125,121.8800048828125,-73.0,13.990005493164048,0.020000000000000018
2011-11-01,-61.52001953125,-6.340087890625,36.300048828125,7.169998168945327,-0.08000000000000007
2011-12-01,-21.77001953125,10.6400146484375,15.0999755859375,-1.5299987792968892,-0.03000000000000025
2012-01-01,130.050048828125,54.81005859375,-29.7000732421875,-0.34999847412107954,0.010000000000000231
2012-02-01,74.4599609375,53.27001953125,-1.0999755859375,8.589996337890625,0.06000000000000005
2012-03-01,-16.2099609375,42.7899169921875,13.4000244140625,-4.0500030517578125,0.11999999999999966
2012-04-01,-32.050048828125,-10.5599365234375,-6.300048828125,1.8500061035156392,-0.04999999999999982
2012-05-01,-138.52001953125,-87.580078125,48.0,-18.34000396728517,-0.1200000000000001
2012-06-01,10.5400390625,51.830078125,-22.5999755859375,-1.5699996948242188,-0.08999999999999986
2012-07-01,27.97998046875,17.159912109375,-20.5,3.0999984741210938,-0.28000000000000025
2012-08-01,23.1300048828125,27.260009765625,-3.0,8.410003662109375,-0.17999999999999972
2012-09-01,91.0899658203125,34.090087890625,-18.199951171875,-4.279998779296889,-0.020000000000000018
2012-10-01,-84.14990234375,-28.510009765625,-25.0999755859375,-5.9500045776367045,-0.03000000000000025
2012-11-01,20.8399658203125,4.02001953125,-8.2000732421875,2.6700057983398438,0.020000000000000018
2012-12-01,64.1500244140625,10.0098876953125,-44.0,2.9099960327148438,0.050000000000000266
2013-01-01,-35.110107421875,71.9200439453125,47.300048828125,5.669998168945298,-0.10000000000000009
2013-02-01,64.550048828125,16.570068359375,-1.5,-5.439994812011719,-0.04999999999999982
2013-03-01,-21.599975585937727,54.5098876953125,28.0999755859375,5.1800003051757955,-0.10000000000000009
2013-04-01,-40.94006347656227,28.3800048828125,-8.800048828125,-3.7700042724609375,-0.050000000000000266
2013-05-01,37.10009765625,33.1700439453125,24.4000244140625,-1.4899978637695312,0.040000000000000036
2013-06-01,-137.7301025390625,-24.4599609375,19.5999755859375,4.589996337890639,0.28000000000000025
